Object Name,Hour Angle,Declination,Rise Time,Set Time
Venus,5.91,7.2,07:12,07:16
Mars,15.63,5.3,21:36,04:43
Uranus,14.51,14.1,22:10,06:26
Neptune,17.65,-5.6,20:28,01:53
